ST,Rape,Dowry Deaths,Assault on Women with Intent to Outrage her Modesty,Cruelty by Husband or his relatives,Insult to the Modesty of Women,Kidnapping and Abduction
Andhra Pradesh,1236,111,4886,6546,2342,534
Arunachal Pradesh,62,0,73,69,3,45
Assam,2142,148,4642,11408,90,5364
Bihar,875,1046,584,1935,6,6671
Chhattisgarh,1328,71,1461,641,279,1341
Goa,60,0,67,8,35,31
Gujarat,489,6,846,3345,17,597
Haryana,1588,251,2339,4119,183,2423
Himachal Pradesh,334,1,538,259,88,281
Jammu & Kashmir,1509,275,1358,857,6,993
Jharkhand,515,176,4751,2055,70,923
Karnataka,696,6,3890,2707,442,151
Kerala,2374,608,5378,5540,200,4782
Madhya Pradesh,2064,197,9965,6729,969,5254
Maharashtra,37,1,61,7,8,49
Manipur,86,1,86,17,16,29
Meghalaya,34,0,26,7,3,1
Mizoram,4,1,7,2,2,6
Nagaland,1355,320,12605,3659,615,3775
Odisha,555,63,731,1271,28,1241
Punjab,6275,479,8661,13765,85,4739
Rajasthan,13,0,18,1,0,11
Sikkim,404,40,892,689,31,633
Tamil Nadu,799,158,4907,7453,565,1314
Telangana,92,23,115,356,3,110
Tripura,3020,2274,9864,14454,28,9109
Uttar Pradesh,499,65,474,668,43,349
Uttarakhand,2000,522,2488,19962,446,7740
West Bengal,3,0,15,2,3,1
A & N Islands,63,1,42,96,4,90
Chandigarh,4,1,6,4,3,0
D&N Haveli,1006,110,1840,2557,416,2938
Daman & Diu,253,9,1744,349,35,775
Delhi UT,2,0,4,3,0,0
Lakshadweep,3,0,3,0,1,0
Puducherry,8,2,25,9,0,0
